Route ID,Route Description,Kilometer
29A-U,Swargate To Alandi,28.6
29-D,Vishrantwadi To Swargate,12.6
29-U,Swargate To Vishrantwadi,12.6
2A-D,Shivajinagar To Katraj Ladies Special,10.5
2A-U,Katraj To Shivajinagar Ladies Special,10.5
2B-D,Shivajinagar To Bhilarewadi,12
2B-U,Bhilarewadi To Shivajinagar,12
2-D,Shivajinagar To Katraj,10.5
2D-D,Sachchai Mata Mandir To Katraj,2
2E-D,Sachchai Mata Mandir To Swargate,8
2E-U,Swargate To Sachchai Mata Mandir,8
2F-D,Taljai Pathar To Swargate,6.5
2G-U,Taljai Pathar To Shivajinagar,10.1
2H-D,Sachchai Mata Mandir To Shivajinagar,12.4
2H-U,Shivajinagar To Sachchai Mata Mandir,12.4
2I-D,Pune Vidhyapeeth To Katraj,14
2I-U,Katraj To Pune Vidhyapeeth,14
2J-D,Bhilarewadi To Katraj,1.5
2J-U,Katraj To Bhilarewadi,1.5
2K-D,Shivajinagar To Narhegaon,13
2K-U,Narhegaon To Shivajinagar,13
2L-D,Katraj To Narhegaon,2.5
2L-U,Narhegaon To Katraj,2.5
2-NGT-D,Shivajinagar To Katraj Night Service,10.5
2-NGT-U,Katraj To Shivajinagar Night Service,10.5
2-U,Katraj To Shivajinagar,10.5
301-D,Shewalwadi To Katraj,19
301-U,Katraj To Shewalwadi,19
302A-D,Alandi To Pimprigaon,17.7
302A-U,Pimprigaon To Alandi,17.7
302B-D,Bopkhel To Pimprigaon,19.85
302B-U,Pimprigaon To Bopkhel,19.5
302C-D,Gavhanevasti Bhosari To Nehrunagar Depo,3.5
302C-U,Nehrunagar Depo To Gavhanevasti Bhosari,3.5
302-D,Gavhanevasti Bhosari To Pimprigaon,8.65
302D-D,Pimprigaon To Nehrunagar Depo,5.7
302D-U,Nehrunagar Depo To Pimprigaon,5.7
302-U,Pimprigaon To Gavhanevasti Bhosari,8.65
303A-D, Mukai Chowk To Nigdi,8.6
303A-U, Nigdi To  Mukai Chowk,8.6
303-D,Akurdi Railway Station To Nigdi,6.2
303-U,Nigdi To Akurdi Railway Station,6.2
304A-D,Bhosari To Nehrunagar Depo,3.5
304A-U,Nehrunagar Depo To Bhosari,3.5
304-D,Gavhanevasti Bhosari To Chinchwadgaon,10.2
304-U,Chinchwadgaon To Gavhanevasti Bhosari,10.2
305A-D,Dy Patil College Wadgaonmawal To Nigdi,22
